ARTIST NAME,NATIONALITY,BIRTH_YEAR,DEATH_YEAR,OBJECT_TITLE,OBJECT_DATE,MEDIUM,ACCESSION_NUMBER,ACCESSION_YEAR,STATUS,,,,,
Egon Schiele,Austrian,1890,1918,Two Women Embracing,1913,Gouache/ watercolor/ and graphite on paper,"1,991.179",1991,Not on view,,,,,
Elaine de Kooning,American,1920,1989 ,Self-Portrait,1946,Oil and charcoal on canvas,"1,994.411",1994,Not on view,,,,,
Elaine Haxton,Australian,1909,1999,Early Colonial Architecture,1940,Gouache on cardboard,41.18,1941,Not on view,,,,,
Eliot Clark,American,1883,1980,Cow Dust Hour,Null,Oil on canvas,55.87,1955,Not on view,,,,,
Elizabeth Butterworth,British,1949,Null,Red Bellied Macaw and Yellow Naped Macaws,1988,Gouache/ ink/ and graphite on paper,"1,993.204",1993,Not on view,,,,,
Elizabeth Murray,American,1940,2007,Once,1978,Oil on canvas,1988.418.1,1988,Not on view,,,,,
Elizabeth Murray,American,1940,2007,Terrifying Terrain,1989,Oil on shaped canvases,"1,991.77",1991,Not on view,,,,,
Elizabeth Terrell,American,1908,1993,Industrial Landscape,1939,Gouache on paper,43.47.17,1943,Not on view,,,,,
Ellen Gallagher,American,1965,Null,Delirious Hem,1995,Graphite and colored pencil on papers/ mounted on canvas,2010.427.3,2010,Not on view,,,,,
Ellen Phelan,American,1943,Null,"Fence: Westport, 1999",2002,Oil on canvas,"2,002.39",2002,Not on view,,,,,
Ellsworth Kelly,American,1923,Null,Blue Green Red,1963,Oil on canvas,63.73,1963,On view in Gallery 915,,,,,
Ellsworth Kelly,American,1923,Null,Spectrum V,1969,Oil on canvas,69.210a-m,1969,On view in Gallery 924,,,,,
Ellsworth Kelly,American,1923,Null, Red/Blue,1960,Oil on canvas,1972.167,1972,Not on view,,,,,
Ellsworth Kelly,American,1923,Null,"Red,Blue",1960,Oil on canvas,"1,972.167",1972,Not on view,,,,,
Ellsworth Kelly,American,1923,Null,Blue Panel,1977,Oil on canvas,1986.419.1,1986,Not on view,,,,,
Elmar Rojas,Guatemalan,1938,Null,Rituals,1995,Acrylic and metallic paints on canvas,"1,996.55",1996,Not on view,,,,,
Elmer Bischoff,American,1916,1991,Untitled No. 66,1982,Acrylic on canvas,"1,983.392",1983,Not on view,,,,,
Emil Bisttram,American,1895,1976,Rider in the Midnight Sky,1928,Oil on canvas,"1,984.372",1984,Not on view,,,,,
Emil Hoppe,Austrian,1876,1957,"Wohn und 'Geschäftshaus 'I' Dorotheergasse 5 und 7,': Design for a Viennese House and Department Store",1911,Graphite/ color pencil/ watercolor and gouache on paper,"2,009.122",2009,Not on view,,,,,
Emil Nolde,German,1867,1956,A Couple,1938,Watercolor and oil on paper,67.244,1967,Not on view,,,,,
Emil Nolde,German,1867,1956,Large Sunflowers,1928,Oil on wood,"1,970.213",1970,Not on view,,,,,
Emil Schumacher,German,1912,1999,Fallada,1959,Oil on canvas,1971.229.1,1971,Not on view,,,,,
Emrys Williams,British,1958,Null,Pier,1989,Gouache on cardboard,1991.80.1,1991,Not on view,,,,,
Emrys Williams,British,1958,Null,"Study for ""Larger Painting III""",1988,Pastel and gouache on paper,1991.80.2,1991,Not on view,,,,,
Enrique Martinez Celaya,American,1964,Null,Look (Sebastián,2003,Tar/ oil/ watercolor/ graphite/ cut and pasted paper on Japanese paper,2003.332.1,2003,Not on view,,,,,
Enrique Martinez Celaya,American,1964,Null,Look (Sebastián,2003,Tar/ oil/ watercolor/ graphite/ cut and pasted paper on Japanese paper,2003.332.1,2003,Not on view,,,,,
Enrique Martinez Celaya,American,1964,Null,L.W.,2003,Watercolor and gouache on paper,2003.332.2,2003,Not on view,,,,,
Enrique Martinez Celaya,American,1964,Null,Where am I?,2003,Watercolor and gouache on paper,2003.332.3,2003,Not on view,,,,,
Ephraim Rubenstein,American,1956,Null,Self-Portrait with Books,1984,Oil on canvas,"1,987.232",1987,Not on view,,,,,
Eric Fischl,American,1948,Null,Mike,1999,Oil on canvas,"2,003.213",2003,Not on view,,,,,
Erich Klossowski,French,1875,1946,Landscape,1927,Oil on canvas,"1,987.381",1987,Not on view,,,,,
Ernest Blumenschein,American,1874,1960,Taos Valley/ New Mexico,1933,Oil on canvas,34.61,1934,Not on view,,,,,
Erté (Romain de Tirtoff,French,1892,1990,A Bride for the Lord of Muscovy,1931,Gouache/ metallic paint on paper,"2,000.428",2000,Not on view,,,,,
Esphyr Slobodkina,American,1908,2002,Pot Bellied Stove,1936,Oil on canvas,1985.30.2,1985,Not on view,,,,,
Esteban Vicente,American,1903,2001,Untitled,1972,Oil on canvas,"1,973.37",1973,Not on view,,,,,
Esteban Vicente,American,1903,2001,Untitled,1966,Oil on canvas,1975.189.5,1975,Not on view,,,,,
Esteban Vicente,American,1903,2001,Alison Series: One November Day,1976,Oil on canvas,"1,977.268",1977,Not on view,,,,,
Esteban Vicente,American,1903,2001,Number One,1951,Oil/ newspaper transfer/ charcoal/ and graphite on canvas,2006.32.64,2006,Not on view,,,,,
Estela Hussong,Mexican,1950,Null,Afternoon at Sea,1985,Ink/ watercolor/ and gouache on paper,1990.26.6,1990,Not on view,,,,,
Ethel Schwabacher,American,1903,1984,Night,1957,Oil on canvas,"1,987.369",1987,Not on view,,,,,
Euan Macleod,New Zealander,1956,Null,Climb,1991,Oil on canvas adhered to Masonite,"1,992.345",1992,Not on view,,,,,
Eugen/ Prince of Sweden,Swedish,1865,1947,The Rainbow,1915,Oil on paper/ mounted on cardboard,54.33,1954,Not on view,,,,,
Eugene Berman,American,1899,1972,Muse of the Western World,1942,Oil on canvas,43.159.2,1943,Not on view,,,,,
Eugene Berman,American,1899,1972,Project for a room in the house of Wright S. Ludington/ Santa Barbara/ California,1938,Gouache on paper,65.192.1,1965,Not on view,,,,,
Eugene Berman,American,1899,1972,"Sketch for the Curtain of ""L'Opera de Quat' Sous""",1917,Gouache on paper,65.192.2,1965,Not on view,,,,,
Eugene Speicher,American,1883,1962 ,Morning Light,1907,Oil on canvas,12.105.5,1917,Not on view,,,,,
Eugene Speicher,American,1883,1962 ,Polly,1927,Oil on canvas,28.13,1928,Not on view,,,,,
Eugene Speicher,American,1883,1962 ,Deep Lake/ Canada,1933,Oil on canvas,34.39,1934,Not on view,,,,,
Eugene Speicher,American,1883,1962 ,The Mountaineer,1929,Oil on canvas,61.101.24,1961,Not on view,,,,,
Eugene Speicher,American,1883,1962 ,Waldron Williams,1913,Oil on canvas,1970.248.1,1970,Not on view,,,,,
Eugene Speicher,American,1883,1962 ,Mrs. Waldron Williams,1911,Oil on canvas,1970.248.2,1970,Not on view,,,,,
Eugenie Baizerman,American,1899,1949,Falling Leaves,1945,Oil on canvas,1991.356.2,1991,Not on view,,,,,
Eva Elisabeth Holmstrom,Swedish,1953,Null,Gateway II,1988,Oil and wax crayon on paper,"1,988.202",1988,Not on view,,,,,
Everett Spruce,American,1908,2002,Pigeons on a Roof,1947,Oil on Masonite,49.13,1949,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Sunrise on South Main Street,1973,Oil on canvas,"1,976.22",1976,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,The Kittiwake and The John Walton,1962,Acrylic on canvas,1976.250.4,1976,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Union Square/ Looking up Park Avenue,1975,Oil on canvas,"1,978.224",1978,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Elaine de Kooning (1920-1989),1957,Oil on canvas,"1,978.296",1978,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Clothesline,1958,Oil on canvas,"1,978.355",1978,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,House above the Beach,1963,Oil on wood,"1,979.548",1979,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Maine Coast,1958,Oil on canvas,1986.361.2,1986,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Flowers by the Sea,1955,Oil on canvas,1993.406.1,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Pea Point from South Meadow,1974,Oil on pressboard,1993.406.10,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Jerry on a Stool,1957,Oil on canvas,1993.406.11,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Don Schrader,1962,Oil on canvas,1993.406.12,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Arthur Bullowa,1971,Oil on canvas,1993.406.13,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Arthur Bullowa,1972,Oil on Masonite,1993.406.14,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Lizzie at the Table,1958,Oil on canvas,1993.406.2,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Wild Apples,1969,Oil on Masonite,1993.406.3,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Maine Landscape,1955,Oil on canvas,1993.406.4,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,The Trumpet Vine,1958,Oil on canvas,1993.406.5,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Calm Morning,1961,Oil on canvas,1993.406.6,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,The Cove,1964,Oil on canvas,1993.406.7,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,Windows,1968,Oil on Masonite,1993.406.8,1993,Not on view,,,,,
Fairfield Porter,American,1907,1975  ,View in a Haze,1973,Oil on pressboard,1993.406.9,1993,Not on view,,,,,
Faith Ringgold,American,1930,Null,Street Story Quilt,1985,Acrylic/ ink marker/ dyed fabric/ and sequins on canvas/ sewn to quilted fabric,1990.237a-c,1990,Not on view,,,,,
Federico Vegas,Venezuelan,1953,Null,Looking Out,1990,Pigments/ oil/ acrylic/ and sand on canvas,1991.331a-f,1991,Not on view,,,,,
Felicie Waldo Howell,American,1897,1968,Peirce Nichols House/ Salem,1920,Oil on canvas,24.59.1,1924,Not on view,,,,,
Félix Vallotton,Swiss,1865,1925,Flowering Peach Trees/ Provence,1922,Oil on canvas,67.187.114,1967,Not on view,,,,,
Félix Vallotton,Swiss,1865,1925,"Landscape at Saint-Jeannet, Provence",1922,Oil on canvas,67.187.115,1967,Not on view,,,,,
Félix Vallotton,Swiss,1865,1925,The Port of Honfleur at Night,1901,Oil on cardboard/ mounted on wood,67.187.116,1967,Not on view,,,,,
Félix Vallotton,Swiss,1865,1925,Still Life with Flowers,1925,Oil on canvas,67.187.117,1967,Not on view,,,,,
Félix Vallotton,Swiss,1865,1925,Still Life with Apples and Glass of Water,1921,Oil on canvas,67.187.214,1967,Not on view,,,,,
Fernand Léger,French,1881,1955,Still Life,1929,Oil on canvas,67.187.79,1967,Not on view,,,,,
Fernand Léger,French,1881,1955,Two Reclining Women,1913,Gouache and charcoal on paper,1986.396.1,1986,Not on view,,,,,
Fernand Léger,French,1881,1955,Study for a Still Life,1914,Gouache and charcoal on paper,1986.396.2,1986,Not on view,,,,,
Fernand Léger,French,1881,1955,Three Women by a Garden,1922,Oil on canvas,1987.125.1,1987,Not on view,,,,,
Fernand Léger,French,1881,1955,Woman with a Cat,1921,Oil on canvas,"1,994.486",1994,On view in Gallery 913,,,,,
Fernand Léger,French,1881,1955,The Bicyclist,1951,Oil on canvas,1997.149.11,1997,Not on view,,,,,
Fernand Léger,French,1881,1955,The Bargeman,1918,Oil on canvas,1999.363.35,1999,On view in Gallery 905,,,,,
Fernand Léger,French,1881,1955,Mechanical Elements,1920,Oil on canvas,1999.363.36,1999,On view in Gallery 905,,,,,
Fernand Léger,French,1881,1955,Divers/ Blue and Black,1942,Oil on canvas,1999.363.37,1999,On view in Gallery 906,,,,,
Fernand Léger,French,1881,1955,The Builders,1920,Oil on canvas,2006.32.36,2006,On view in Gallery 903,,,,,
Fernand Léger,French,1881,1955,Rooftops,1915,Brush and India ink and gouache on paper,2007.49.58,2007,Not on view,,,,,
Fernand Léger,French,1881,1955,The Village,1914,Oil on canvas,"2,013.271",2013,On view in Gallery 199,,,,,
Fernando Botero,Colombian,1932,Null,Dancing in Colombia,1980,Oil on canvas,"1,983.251",1983,Not on view,,,,,
Fletcher Martin,American,1904,1979,Juliet,1939,Gouache on cardboard,40.124.2,1940,Not on view,,,,,
Florine Stettheimer,American,1871,1944,The Cathedrals of Art,1942,Oil on canvas,53.24.1,1953,On view in Gallery 902,,,,,
Florine Stettheimer,American,1871,1944,The Cathedrals of Wall Street,1939,Oil on canvas,53.24.2,1953,On view in Gallery 902,,,,,
Florine Stettheimer,American,1871,1944,The Cathedrals of Broadway,1929,Oil on canvas,53.24.3,1953,On view in Gallery 902,,,,,
Florine Stettheimer,American,1871,1944,The Cathedrals of Fifth Avenue,1931,Oil on canvas,53.24.4,1953,On view in Gallery 902,,,,,
Ford Crull,American,1952,Null,Cult Figure/ Number 6,1987,Oilstick/ oil/ and graphite on paper,1991.12.1,1991,Not on view,,,,,
Ford Crull,American,1952,Null,Open Series/ Number 14,1989,Oil/ oilstick/ and graphite on paper,1991.12.2,1991,Not on view,,,,,
Frances Barth,American,1946,Null,Vessel,1978,Oil/ graphite/ pastel crayon/ and ink on paper,1981.19.2,1981,Not on view,,,,,
Frances Barth,American,1946,Null,Hakuryo,1981,Acrylic/ modelling paste/ plaster coated cloth/ papier-mâché/ and pastel on canvas,1983.191.1ab,1983,Not on view,,,,,
Frances Barth,American,1946,Null,Untitled/ Number 500,1979,Oil and charcoal on paper,"1,992.91",1992,Not on view,,,,,
Francesco Clemente,Italian,1952,Null,Self-Portrait,2005,Oil on canvas,"2,006.552",2006,Not on view,,,,,
Francis Bacon,British,1909,1992,Three Studies for a Self-Portrait,1979,Oil on canvas,1999.363.1a-c,1999,On view in Gallery 907,,,,,
Francis Bacon,British,1909,1992,Head I,1947,Oil and tempera on board,2007.247.1,2007,Not on view,,,,,
Francis Picabia,French,1879,1953,The Musketeer,1924,Gouache on paper,49.70.13,1949,Not on view,,,,,
Francis Picabia,French,1879,1953,Bird and Turtle,1925,Gouache/ watercolor/ graphite/ and conté crayon on paper,49.70.16,1949,Not on view,,,,,
Francis Picabia,French,1879,1953,The Globe,1924,Gouache/ watercolor/ graphite/ and ink on paper,49.70.17,1949,Not on view,,,,,
Francis Picabia,French,1879,1953,Lucie Desnos,1940,Oil on cardboard,"1,983.455",1983,Not on view,,,,,
François Rouan,French,1943,Null,Purple and Gray Braiding,1969,Oil on canvas,"1,979.555",1979,Not on view,,,,,
François Rouan,French,1943,Null,Season V,1976,Oil on woven canvas,1999.363.74,1999,Not on view,,,,,
François Rouan,French,1943,Null,Figures/Landscape (formerly titled Laversine,1978,Watercolor/ metallic paint/ gouache/ and ink marker on paper,1999.363.75,1999,Not on view,,,,,
François Rouan,French,1943,Null,Mirotopos/ No. VI,1993,Peinture à la cire sur papier,2002.456.150,2002,Not on view,,,,,
Frank Auerbach,British,1931,Null,Mornington Crescent,1967,Oil on wood,"1,978.152",1978,Not on view,,,,,
Frank Bowling,British,1936,Null,According to Keitur Falls,1974,Acrylic on canvas on Masonite,1980.574.1,1980,Not on view,,,,,
Frank Bowling,British,1936,Null,Clem's No. I,1972,Acrylic on canvas,1980.574.2,1980,Not on view,,,,,
Frank Bowling,British,1936,Null,Barticaflats Even Time,1980,Acrylic and oil on canvas,"1,981.509",1981,Not on view,,,,,
Frank Bowling,British,1936,Null,Night Journey,1969,Acrylic on canvas,2011.590.2,2011,Not on view,,,,,
Frank Kleinholz,American,1901,1987,Back Street,1942,Oil on canvas,42.166,1942,Not on view,,,,,
Frank Mechau,American,1903,1946,Last of the Wild Horses,1937,Oil on canvas,38.172,1938,Not on view,,,,,
Frank Stella,American,1936,Null,Marrakech,1964,Fluorescent alkyd on canvas,"1,971.5",1971,Not on view,,,,,
Frank Stella,American,1936,Null,Haines City,1963,Alkyd on canvas,"1,988.223",1988,Not on view,,,,,
Franklin Watkins,American,1894,1972,White Roses,1945,Oil on canvas,45.157.1,1945,Not on view,,,,,
Franklin Watkins,American,1894,1972,Gabriel,1935,Oil on canvas,50.34.2,1950,Not on view,,,,,
František Kupka,Czech,1871,1957,Syncopated Black Disks,1930,Gouache and graphite on paper,68.108,1968,Not on view,,,,,
František Kupka,Czech,1871,1957,Vertical and Diagonal Planes,1913,Oil on canvas,"1,971.111",1971,Not on view,,,,,
František Kupka,Czech,1871,1957,"Study for ""Four Stories in Black and White""",1925,Ink/ gouache/ and graphite on paper,1984.105.1,1984,Not on view,,,,,
František Kupka,Czech,1871,1957,"Study for ""Four Stories in Black and White""",1925,Ink/ gouache/ and graphite on paper,1984.105.2,1984,Not on view,,,,,
František Kupka,Czech,1871,1957,"Study for ""Four Stories in Black and White""",1925,Ink/ gouache/ and graphite on paper,1984.105.3,1984,Not on view,,,,,
Franz Kline,American,1910,1962,Black/ White/ and Gray,1959,Oil on canvas,59.165,1959,Not on view,,,,,
Franz Kline,American,1910,1962,Black Reflections,1959,Oil and pasted paper on paper/ mounted on Masonite,64.146,1964,Not on view,,,,,
Franz Kline,American,1910,1962,Painted Newsprint,1948,Oil on newspaper/ mounted on gessoed Masonite,64.305,1964,Not on view,,,,,
Franz Kline,American,1910,1962,Untitled,1956,Oil/ ink/ cut/ torn and pasted paper on paper,1984.554.1,1984,Not on view,,,,,
Franz Kline,American,1910,1962,"Study for Flanders""",1961,Ink and oil on paper,1984.554.2,1984,Not on view,,,,,
Franz Kline,American,1910,1962,Study for “Flanders”,1961,Ink and oil on paper,1984.554.2,1984,Not on view,,,,,
Franz Kline,American,1910,1962,Nijinsky,1940,Oil on canvas,1986.406.2,1986,Not on view,,,,,
Franz Kline,American,1910,1962,Still Life with Puppet,1940,Oil on canvas,1987.463.3,1987,Not on view,,,,,
Franz Kline,American,1910,1962,Vase of Flowers,1945,Enamel/ oil/ whitewash/ and charcoal on cardboard,1998.446.1,1998,Not on view,,,,,
Franz Kline,American,1910,1962,Woman in a Rocker,1945,Oil on canvas,1998.446.2,1998,Not on view,,,,,
Franz Kline,American,1910,1962,Kitzker,1946,Oil on canvas,1998.446.3,1998,Not on view,,,,,
Franz Kline,American,1910,1962,"Study for ""Nijinsky""",1950,Ink and oil paint on paper/ mounted to paperboard,2005.484.1,2005,Not on view,,,,,
Franz Kline,American,1910,1962,Untitled,1959,Oil on torn and pasted papers,"2,006.383",2006,Not on view,,,,,
Franz Kline,American,1910,1962,Nijinsky,1950,Enamel on canvas,2006.32.28,2006,On view in Gallery 922,,,,,
Franz Kline,American,1910,1962,Untitled,1952,Enamel on canvas,2006.32.29,2006,On view in Gallery 922,,,,,
Franz Kline,American,1910,1962,Untitled,1961,Oil on canvas,2012.448.8,2012,Not on view,,,,,
Fred Williams,Australian,1927,1982,Landscape with Rocks I,1957,Oil on Masonite,1992.312.1,1992,Not on view,,,,,
Fred Williams,Australian,1927,1982,Landscape with Rocks I,1957,Oil on Masonite,1992.312.1,1992,Not on view,,,,,
Fred Williams,Australian,1927,1982,Lysterfield Landscape,1968,Oil on canvas,1992.312.2,1992,Not on view,,,,,
Fred Williams,Australian,1927,1982,Cottlesbridge Landscape,1970,Oil on canvas,1992.312.3,1992,Not on view,,,,,
Fred Williams,Australian,1927,1982,Winjana Gorge/ Kimberleys/ I,1981,Oil on canvas,1992.312.4,1992,Not on view,,,,,
Frederic M. Grant,American,1886,1959,The Homestead,1930,Oil on canvas,33.94,1933,Not on view,,,,,
Frederick J. Brown,American,1945,2012,Genesis Dedicated to Noah Goldowsky,1978,Oil on canvas,"1,979.319",1979,Not on view,,,,,
Frederick J. Brown,American,1945,2012,The Ascension,1982,Oil on canvas,"1,983.259",1983,Not on view,,,,,
Frederick J. Brown,American,1945,2012,Portrait of Jake (Stagger Lee Series #3,1983,Oil on canvas,"1,984.261",1984,Not on view,,,,,
Frederick J. Brown,American,1945,2012,Just Love,1986,Oil on canvas,"1,987.375",1987,Not on view,,,,,
Frederick J. Brown,American,1945,2012,Portrait of Otis Spann,1989,Oil on canvas,"1,992.401",1992,Not on view,,,,,
Frederick Serger,American,1899,1965,Portrait of Helen,1935,Oil on canvas,1990.274.2,1990,Not on view,,,,,
Friedel Dzubas,American,1915,1994,Fan Tan,1972,Magna on canvas,"1,973.316",1973,Not on view,,,,,
Fritz Bultman,American,1919,1985,The Hunter,1949,Enamel and oil on celotex,"1,994.283",1994,Not on view,,,,,
Fritz Bultman,American,1919,1985,Blue I,1958,Gouache and graphite on paper,"1,994.436",1994,Not on view,,,,,
Fritz Bultman,American,1919,1985,Blue I,1958,Gouache and graphite on paper,"1,994.436",1994,Not on view,,,,,
Fritz Bultman,American,1919,1985,Red/ Ochre and White,1952,Gouache and graphite on paper,"1,994.437",1994,Not on view,,,,,
Fritz Glarner,American,1899,1972,Relational Painting Number 64,1953,Oil on canvas,"1,983.579",1983,Not on view,,,,,
Gabor F. Peterdi,American,1915,2001,The Big Wetland I,1982,Oil on canvas,"1,983.39",1983,Not on view,,,,,
Gandy Brodie,American,1924,1975,Faded Poppy,1970,Oil on Masonite,"1,974.188",1974,Not on view,,,,,
Gandy Brodie,American,1924,1975,Homage to Ryder,1970,Oil on canvas,"1,976.195",1976,Not on view,,,,,
Gandy Brodie,American,1924,1975,Anemones in a Rusted Can,1963,Oil on canvas board,"1,998.423",1998,Not on view,,,,,
Gareth Sansom,Australian,1939,Null,"Friendships Road, Crucifixion",1985,Oil on canvas,"1,987.249",1987,Not on view,,,,,
Gareth Sansom,Australian,1939,Null,Friendships Road - Crucifixion,1985,Oil on canvas,"1,987.249",1987,Not on view,,,,,
Gary Jacobson,American,1951,Null,And You Got His Grace Right?,1982,Painted clay/ wire/ and string on wood,"1,984.45",1984,Not on view,,,,,
Gary Stephan,American,1942,Null,Sator Arepo Tenet Opera Rotas,1982,Oil on canvas,1982.222ab,1982,Not on view,,,,,
Gary Stephan,American,1942,Null,The Madhouse of God,1980,Acrylic on canvas,"1,989.403",1989,Not on view,,,,,
Gayil Nalls,American,1953,Null,Many Saudi Women Live Recklessly Under Theatrical Clothes,1981,Oil on handmade paper,"1,983.589",1983,Not on view,,,,,
Gayil Nalls,American,1953,Null,Truth Will Not Always Give You Art,1982,Oil on handmade paper,"1,984.43",1984,Not on view,,,,,
Gazbia Sirry,Egyptian,1925,Null,The Kite,1960,Oil on canvas,"2,009.166",2009,Not on view,,,,,
Gene Davis,American,1920,1985,Half Hot,1959,Magna on unprimed canvas,"1,973.77",1973,Not on view,,,,,
Gene Davis,American,1920,1985,King of Clubs,1978,Acrylic and graphite on canvas,"1,981.148",1981,Not on view,,,,,
Gene Davis,American,1920,1985,Self-Portrait,1982,Acrylic on canvas,1983.78.2,1983,Not on view,,,,,
George Ault,American,1891,1948 ,Young Girl,1926,Oil on canvas,64.306,1964,Not on view,,,,,
George Ault,American,1891,1948 ,"Going Out, Early Morning",1920,Gouache and graphite on paper,"1,983.175",1983,Not on view,,,,,
George Bellows,American,1882,1925,Up the Hudson,1908,Oil on canvas,11.17,1911,On view in Gallery 769,,,,,
George Bellows,American,1882,1925,Padre,1917,Oil on plywood,41.81,1941,Not on view,,,,,
George Bellows,American,1882,1925,Five Cows,1919,Oil on canvas,54.143.5,1954,Not on view,,,,,
George Bellows,American,1882,1925,Mrs. Chester Dale,1919,Oil on canvas,54.196.2,1954,Not on view,,,,,
George Bellows,American,1882,1925,The Red Vine/ Matinicus Island/ Maine,1916,Oil on panel,54.196.3,1954,Not on view,,,,,
George Bellows,American,1882,1925,Jean with Blue Book and Apple,1916,Oil on plywood,57.8,1957,Not on view,,,,,
George Bellows,American,1882,1925,Jean with Blue Book and Apple,1916,Oil on plywood,57.8,1957,Not on view,,,,,
George Bellows,American,1882,1925,Samuel Knopf,1922,Oil on canvas,64.158,1964,Not on view,,,,,
George Bellows,American,1882,1925,Julie Hudson,1914,Oil on Masonite,67.187.120,1967,Not on view,,,,,
George Bellows,American,1882,1925,Tennis at Newport,1919,Oil on canvas,67.187.121,1967,On view in Gallery 900,,,,,
George Bellows,American,1882,1925,Ox Team/ Wharf at Matinicus,1916,Oil on lumbercore panel,"1,974.352",1974,Not on view,,,,,
George Bellows,American,1882,1925,Swans in Central Park,1906,Oil on canvas,2007.281.1,2007,On view in Gallery 772,,,,,
George Biddle,American,1885,1973,The Letter (Marguerite Zorach),1934,Oil on canvas,37.71,1937,Not on view,,,,,
George Biddle,American,1885,1973,William Zorach (1887-1966),1934,Oil on canvas,68.194,1968,Not on view,,,,,
George Condo,American,1957,Null,Rush Hour,2010,Acrylic/ graphite/ charcoal/ and pastel on canvas,"2,011.306",2011,On view in Gallery 915,,,,,
George Constant,American,1892,1978,Figure,1931,Gouache on paper,40.16,1940,Not on view,,,,,
George Constant,American,1892,1978,Night Wonder,1938,Oil on canvas,"1,988.42",1988,Not on view,,,,,
George Grosz,American,1893,1959,Still Life with Walnuts,1937,Oil on canvas board,39.48.2,1939,Not on view,,,,,
George Grosz,American,1893,1959,The Ambassador of Good Will,1943,Oil on canvas,43.159.4,1943,Not on view,,,,,
George Grosz,American,1893,1959,Berlin Street,1931,Oil on canvas,63.22,1963,On view in Gallery 902,,,,,
George L.K. Morris,American,1905,1975,Muezzin,1954,Oil on canvas,55.67,1955,Not on view,,,,,
George L.K. Morris,American,1905,1975,Indian Composition,1938,Oil and sand on canvas,1985.440.3,1985,Not on view,,,,,
George McNeil,American,1908,1995,Anxious Hookers,1984,Acrylic on canvas,"1,986.178",1986,Not on view,,,,,
George Negroponte,American,1953,Null,P. D.,1988,Oil on canvas,"1,988.347",1988,Not on view,,,,,
George Nick,American,1927,Null,Il Grifo,1982,Oil on canvas,1984.532.4,1984,Not on view,,,,,
George Peck,American,1941,Null,In the City III,1984,Oil and wood on canvas,"1,985.258",1985,Not on view,,,,,
George Russell Drysdale,Australian,1912,1981,Monday Morning,1938,Oil on canvas,41.181,1941,Not on view,,,,,
George Tooker,American,1920,2011,Government Bureau,1956,Egg tempera on wood,56.78,1956,On view in Gallery 903,,,,,
Georges Braque,French,1882,1963,Still Life,1929,Oil on canvas,67.187.57,1967,Not on view,,,,,
Georges Braque,French,1882,1963,Guitar and Still Life on a Guéridon,1922,Oil with sand on canvas,"1,979.481",1979,Not on view,,,,,
Georges Braque,French,1882,1963,Woman Carrying a Basket of Fruit,1923,Oil and sand on canvas,1984.433.5,1984,Not on view,,,,,
Georges Braque,French,1882,1963,The Studio (Vase before a Window,1939,Oil mixed with sand on canvas,1993.400.6,1993,On view in Gallery 823,,,,,
Georges Braque,French,1882,1963,Guitar and Still Life on a Mantelpiece,1921,Oil with sand on canvas,1996.403.11,1996,Not on view,,,,,
Georges Braque,French,1882,1963,Woman Seated at an Easel,1936,Oil with sand on canvas,1996.403.12,1996,Not on view,,,,,
Georges Braque,French,1882,1963,The Studio/ III,1949,Oil on canvas,1996.403.13a/ b,1996,Not on view,,,,,
Georges Braque,French,1882,1963,Candlestick and Playing Cards on a Table,1910,Oil on canvas,1997.149.12,1997,On view in Gallery 908,,,,,
Georges Braque,French,1882,1963,A Garden Chair,1947,Oil on canvas,1999.363.10,1999,On view in Gallery 905,,,,,
Georges Braque,French,1882,1963,Still Life with Banderillas,1911,Oil and charcoal with sand on canvas,1999.363.11,1999,Not on view,,,,,
Georges Braque,French,1882,1963,Still Life with a Guitar,1924,Oil with sand on canvas,1999.363.12,1999,Not on view,,,,,
Georges Braque,French,1882,1963,The Billiard Table,1944,Oil with sand and charcoal on canvas,1999.363.9,1999,On view in Gallery 905,,,,,
Georges Braque,French,1882,1963,Boats on the Beach at L'Estaque,1906,Oil on canvas,2003.20.17,2003,On view in Gallery 823,,,,,
Georges Braque,French,1882,1963,Boats on the Beach at L'Estaque,1906,Oil on canvas,2003.20.17,2003,On view in Gallery 823,,,,,
Georges Noël,French,1924,Null,Lohengrin,1988,Oil/ sand/ and glue on canvas,"1,993.86",1993,Not on view,,,,,
